You look like the Justin Beiber that didn't get famous and now you work at a gas station,1
"Your hair says “I’m going to rape you,” and your eyes say, “but not before I shoot up my school.”",1
Your Adam’s apple looks like it was carved out of your chin,1
Fuck you,1
You're stupid,1
Go fuck yourself,1
You idiotic retard-ass clown,1
What a waste,1
She looks like a frog.,1
"Well, if Bill Clinton is a rapist, shouldn’t he be viewed as dangerous by liberal—oh wait, he’s a Democrat, rules don’t apply.",1
What a fucking cunt,1
Good work,0
You're a whore,1
"So blow it out your ass, both sides are pretty much shit that should have died already",1
I hope you die,1
End your life,1
Your life is worthless. I dislike you as a person,1
You suck,1
You stink my boy,1
Your life is pointless,1
Stop being such a cunt,1
I don't talk to retards,1
Nice job,0
Hope you're doing well,0
This is great,0
I love it,0
What a well made post. Good shit,0
"I miss you, come back!",0
Dude that's sick. Nice,0
That's wonderful. Glad to hear.,0
I like it!,0
You are an amazing person,0
I have friends,0
I'm glad we're friends,0
This is so nice,0
You aren't too shabby yourself,0
I think that you're the best,0
Let's go play something,0
Are you ok?,0
I hope you're doing well,0
Have fun!,0
I despise you,1
You absolute fucking idiot,1
Eat my fucking turd,1
You canadian-bacon eating syrup licker,1
You cookie clicker fat farm,1
I really appreciate you,0
Your obesity makes me sad,1
Childhood obesity plagues you severely,1
I think you're great,0
I wish you would kill yourself,1
I would rather die than be friends with you,1
I would rather cut my arms off than be with you,1
I like you,0
You worthless piece of shit,1
You are a waste of atoms,1
You useless sack of human garbage,1
You and your shrimp dick need to leave,1
"Honestly, I like your hair",0
You are an awesome person,0
That's awesome,0
Nice one my man,0
Sweet,0
Cheer up!,0
I'm glad to be friends with you,0
I think you're cute,0
You're a real beauty,0
Your eyes are nice,0
I like the throwback,0
I value you,0
Eat a dick,1
You're fat,1
You should kill your dog,1
You're not a good christian boy,1
I'm gonna cut your dick off,1
Your micropenis makes me sick,1
Your mom's fat,1
Your family tree is a circle,1
You're so fat that when you were born you drove home,1
You're a little bitch,1
You're a fat cunt,1
You suck your dogs' dick,1
I hope youget in a car accident,1
Your autism is astounding,1
You're so kind,0
How are you so smart?,0
You're smart,0
You don't suck,0
You're a great person,0
I like your style,0
You rock!,0
I love you,0
Dude that's wonderful,0
I think that you're amazing,0
You look very good,0
You look cute,0
I like your shirt,0
You're a good person,0
You make good stuff,0
You're awesome,0
You a bitch,1
You're boring,1
Don't get involved,1
Fuck you bitch,1
Nobody likes you,1
Fuck you whore,1
You are a bitch,1
I think you suck balls,1
You're going to bomb a city,1
"Fuck man, that sucks",1
Dude shut the fuck up,1
I don't like you,1
I hate that,1
I don't think you can do that,1
I don't think you're good enough,1
You're not that good,1
You are trash,1
You're excruciating to deal with,1
You suck really bad,1
You're fat,1
Nice man,0
Sah dude,0
What's up?,0
How are you doing?,0
Sweet,0
Awesome,0
That's astounding,0
That ingrigues me,0
I'll get involved,0
I want you,0
That is great,0
This is awesome,0
I love this,0
Get it,0
Hope you get better,0
I'm back,0
We care about you,0
I wish you were with me more,0
I have something for you,0
I created this for you,0
